id,reputation,post_count,age
66227,101,1,2
66230,1,1,2
66231,21,1,2
66232,153,1,2
66272,51,1,2
66305,11,1,2
66308,101,1,2
66310,101,1,2
66317,31,1,2
66343,13,1,2
66345,109,1,2
66353,116,1,2
66355,1,1,2
66356,11,1,2
66366,101,1,2
66373,11,1,2
66375,111,1,2
66379,1,1,2
66390,1,1,2
66402,1,1,2
66411,23,1,2
66421,1,1,2
66437,11,1,2
66438,1,1,2
66441,11,1,2
66455,21,1,2
66472,151,1,2
66481,101,1,2
66483,311,1,2
66484,1,1,2
66485,1,1,2
66487,21,1,2
66503,51,1,2
66504,11,1,2
66505,11,1,2
66510,111,1,2
66524,121,1,2
66525,1,1,2
66535,111,1,2
66538,3,1,2
66552,113,1,2
66556,11,1,2
66569,9,1,2
66571,111,1,2
66581,11,1,2
66589,1,1,2
66593,1,1,2
66602,13,1,2
66621,11,1,2
66624,41,1,2
66632,11,1,2
66633,81,1,2
66636,3,1,2
66638,101,1,2
66646,23,1,2
66648,21,1,2
66649,123,1,2
66653,21,1,2
66659,1,1,2
66661,11,1,2
66663,61,1,2
66665,9,1,2
66675,11,1,2
66677,111,1,2
66685,61,1,2
66692,121,1,2
66697,13,1,2
66700,103,1,2
66705,136,1,2
66707,51,1,2
66720,11,1,2
66723,171,1,2
66743,111,1,2
66751,11,1,2
66753,11,1,2
66758,101,1,2
66764,1,1,2
66765,111,1,2
66767,1,1,2
66770,11,1,2
66777,111,1,2
66795,1,1,2
66798,1,1,2
66807,101,1,2
66812,101,1,2
66814,11,1,2
66821,19,1,2
66853,11,1,2
66867,3,1,2
66880,121,1,2
66896,181,1,2
66902,1,1,2
66907,11,1,2
66909,1,1,2
66911,3,1,2
66917,1,1,2
66921,11,1,2
66926,11,1,2
66927,11,1,2
66931,21,1,2
66933,13,1,2
66969,11,1,2
66985,103,1,2
66987,111,1,2
66989,113,1,2
66991,21,1,2
67002,1,1,2
67017,131,1,2
67025,147,1,2
67046,1,1,2
67069,111,1,2
67070,21,1,2
67081,113,1,2
67089,113,1,2
67093,113,1,2
67100,11,1,2
67113,103,1,2
67116,11,1,2
67120,101,1,2
67125,21,1,2
67131,23,1,2
67147,121,1,2
67148,123,1,2
67154,13,1,2
67157,3,1,2
67164,21,1,2
67168,136,1,2
67169,111,1,2
67170,1,1,2
67172,11,1,2
67179,11,1,2
67195,11,1,2
67199,11,1,2
67208,23,1,2
67210,131,1,2
67217,11,1,2
67223,111,1,2
67229,11,1,2
67233,123,1,2
67236,11,1,2
67240,211,1,2
67243,31,1,2
67249,11,1,2
67252,111,1,2
67253,141,1,2
67256,21,1,2
67275,13,1,2
67280,41,1,2
67284,33,1,2
67292,131,1,2
67294,33,1,2
67300,111,1,2
67301,1,1,2
67302,81,1,2
67310,51,1,2
67319,111,1,2
67327,126,1,2
67335,1,1,2
67336,141,1,2
67337,21,1,2
67341,21,1,2
67342,13,1,2
67347,113,1,2
67353,113,1,2
67356,11,1,2
67362,31,1,2
67370,111,1,2
67379,11,1,2
67383,111,1,2
67384,11,1,2
67396,21,1,2
67397,111,1,2
67398,33,1,2
67414,101,1,2
67420,111,1,2
67428,3,1,2
67440,11,1,2
67454,11,1,2
67460,21,1,2
67471,21,1,2
67474,21,1,2
67478,113,1,2
67485,33,1,2
67491,141,1,2
67495,151,1,2
67498,123,1,2
67503,23,1,2
67507,43,1,2
67514,41,1,2
67527,31,1,2
67529,21,1,2
67532,11,1,2
67539,13,1,2
67546,127,1,2
67551,43,1,2
67553,101,1,2
67554,21,1,2
67555,1,1,2
67557,21,1,2
67561,111,1,2
67573,103,1,2
67574,11,1,2
67575,111,1,2
67576,11,1,2
67581,11,1,2
67583,143,1,2
67590,21,1,2
67604,41,1,2
67611,11,1,2
67618,13,1,2
67626,1,1,2
67627,21,1,2
67631,1,1,2
67633,13,1,2
67637,11,1,2
67639,51,1,2
67641,121,1,2
67651,16,1,2
67655,116,1,2
67660,11,1,2
67666,113,1,2
67678,111,1,2
67679,11,1,2
67689,11,1,2
67694,11,1,2
67711,11,1,2
67717,11,1,2
67726,11,1,2
67733,41,1,2
67737,121,1,2
67739,9,1,2
67742,31,1,2
67744,113,1,2
67753,31,1,2
67765,101,1,2
67774,21,1,2
67777,101,1,2
67779,11,1,2
67782,113,1,2
67783,23,1,2
67788,31,1,2
67791,11,1,2
67796,11,1,2
67820,41,1,2
67821,111,1,2
67824,21,1,2
67828,163,1,2
67834,11,1,2
67843,1,1,2
67845,33,1,2
67851,21,1,2
67860,21,1,2
67864,11,1,2
67870,21,1,2
67882,21,1,2
67902,21,1,2
67908,21,1,2
67911,11,1,2
67921,21,1,2
67935,1,1,2
67937,21,1,2
67945,31,1,2
67949,161,1,2
67952,93,1,2
67968,11,1,2
67977,1,1,2
67984,1,1,2
67985,13,1,2
67988,101,1,2
67997,1,1,2
68004,11,1,2
68009,11,1,2
68032,101,1,2
68037,3,1,2
68042,23,1,2
68051,123,1,2
68058,1,1,2
68061,11,1,2
68066,103,1,2
68075,21,1,2
68096,41,1,2
68100,26,1,2
68106,1,1,2
68111,21,1,2
68120,33,1,2
68121,21,1,2
68124,11,1,2
68132,21,1,2
68133,31,1,2
68137,121,1,2
68147,21,1,2
68148,111,1,2
68162,31,1,2
68168,131,1,2
68170,11,1,2
68171,111,1,2
68177,111,1,2
68182,1,1,2
68209,1,1,2
68210,11,1,2
68212,109,1,2
68214,11,1,2
68229,1,1,2
68234,31,1,2
68235,11,1,2
68237,51,1,2
68243,111,1,2
68250,11,1,2
68251,23,1,2
68254,31,1,2
68259,11,1,2
68261,1,1,2
68267,31,1,2
68270,11,1,2
68274,1,1,2
68275,11,1,2
68276,21,1,2
68281,21,1,2
68292,11,1,2
68294,11,1,2
68302,111,1,2
68304,11,1,2
68318,141,1,2
68345,101,1,2
68346,13,1,2
68357,140,1,2
68364,111,1,2
68377,3,1,2
68380,21,1,2
68381,121,1,2
68386,191,1,2
68390,31,1,2
68396,11,1,2
68399,11,1,2
68401,41,1,2
68416,1,1,2
68439,1,1,2
68443,101,1,2
68448,33,1,2
68451,11,1,2
68454,1,1,2
68467,1,1,2
68495,21,1,2
68506,1,1,2
68507,1,1,2
68512,21,1,2
68517,29,1,2
68519,23,1,2
68526,1,1,2
68545,33,1,2
68547,21,1,2
68549,1,1,2
68551,11,1,2
68556,113,1,2
68563,113,1,2
68564,31,1,2
68573,13,1,2
68575,101,1,2
68579,101,1,2
68591,46,1,2
68593,101,1,2
68617,121,1,2
68659,153,1,2
68677,13,1,2
68678,11,1,2
68692,31,1,2
68701,111,1,2
68707,1,1,2
68712,21,1,2
68715,11,1,2
68727,11,1,2
68737,1,1,2
68738,101,1,2
68758,11,1,2
68764,21,1,2
68772,1,1,2
68773,1,1,2
68778,21,1,2
68779,33,1,2
68786,31,1,2
68790,1,1,2
68792,31,1,2
68801,21,1,2
68809,13,1,2
68817,13,1,2
68837,1,1,2
68848,1,1,2
68851,11,1,2
68856,3,1,2
68862,101,1,2
68864,101,1,2
68869,13,1,2
68877,31,1,2
68881,11,1,2
68884,183,1,2
68887,11,1,2
68902,111,1,2
68917,21,1,2
68924,11,1,2
68927,111,1,2
68931,101,1,2
68934,41,1,2
68949,111,1,2
68950,21,1,2
68953,143,1,2
68954,121,1,2
68957,1,1,2
68958,21,1,2
68968,101,1,2
68978,1,1,2
68982,231,1,2
68984,1,1,2
68985,1,1,2
68987,21,1,2
69009,1,1,2
69010,111,1,2
69020,3,1,2
69023,23,1,2
69024,3,1,2
69027,21,1,2
69034,111,1,2
69038,11,1,2
69039,11,1,2
69044,11,1,2
69051,101,1,2
69056,101,1,2
69058,1,1,2
69060,123,1,2
69075,133,1,2
69077,103,1,2
69078,11,1,2
69082,121,1,2
69084,101,1,2
69089,111,1,2
69103,1,1,2
69112,3,1,2
69118,21,1,2
69124,103,1,2
69132,121,1,2
69133,3,1,2
69145,23,1,2
69146,21,1,2
69152,1,1,2
69154,111,1,2
69155,101,1,2
69163,13,1,2
69171,31,1,2
69183,11,1,2
69188,141,1,2
69191,121,1,2
69194,1,1,2
69206,11,1,2
69226,23,1,2
69233,183,1,2
69242,11,1,2
69249,1,1,2
69257,3,1,2
69261,3,1,2
69272,11,1,2
69275,9,1,2
69294,11,1,2
69307,31,1,2
69315,11,1,2
69316,113,1,2
69324,1,1,2
69335,23,1,2
69343,21,1,2
69346,163,1,2
69347,13,1,2
69352,41,1,2
69356,1,1,2
69358,11,1,2
69363,3,1,2
69364,21,1,2
69369,11,1,2
69370,111,1,2
69390,1,1,2
69397,396,1,2
69398,11,1,2
69405,21,1,2
69408,123,1,2
69412,111,1,2
69417,131,1,2
69436,3,1,2
69437,3,1,2
69440,1,1,2
69451,1,1,2
69457,1,1,2
69477,123,1,2
69487,11,1,2
69493,201,1,2
69501,123,1,2
69511,113,1,2
69525,1,1,2
69528,9,1,2
69530,21,1,2
69535,23,1,2
69543,31,1,2
69544,11,1,2
69546,11,1,2
69553,13,1,2
69577,111,1,2
69606,111,1,2
69609,23,1,2
69610,21,1,2
69621,13,1,2
69623,121,1,2
69626,133,1,2
69628,141,1,2
69629,3,1,2
69630,121,1,2
69633,21,1,2
69651,31,1,2
69653,111,1,2
69661,1,1,2
69668,13,1,2
69685,53,1,2
69690,11,1,2
69715,11,1,2
69724,11,1,2
69727,13,1,2
69743,111,1,2
69752,1,1,2
69775,11,1,2
69776,111,1,2
69778,21,1,2
69783,13,1,2
69794,21,1,2
69798,31,1,2
69799,31,1,2
69825,11,1,2
69833,11,1,2
69837,101,1,2
69841,103,1,2
69851,131,1,2
69856,136,1,2
69865,111,1,2
69884,1,1,2
69887,31,1,2
69895,13,1,2
69902,11,1,2
69904,121,1,2
69920,1,1,2
69929,1,1,2
69939,103,1,2
69940,36,1,2
69941,1,1,2
69942,121,1,2
69951,1,1,2
69957,51,1,2
69958,51,1,2
69970,101,1,2
69971,11,1,2
69982,11,1,2
69990,101,1,2
69994,143,1,2
69995,11,1,2
70000,31,1,2
70001,121,1,2
70006,21,1,2
70012,11,1,2
70020,116,1,2
70037,21,1,2
70043,111,1,2
70044,111,1,2
70050,111,1,2
70053,11,1,2
70055,19,1,2
70062,103,1,2
70068,11,1,2
70074,11,1,2
70078,113,1,2
70080,3,1,2
70088,103,1,2
70091,31,1,2
70097,33,1,2
70101,101,1,2
70107,31,1,2
70108,51,1,2
70109,11,1,2
70114,31,1,2
70117,13,1,2
70118,61,1,2
70119,19,1,2
70123,53,1,2
70126,31,1,2
70129,11,1,2
70132,1,1,2
70134,11,1,2
70135,11,1,2
70136,11,1,2
70143,11,1,2
70147,111,1,2
70148,11,1,2
70153,11,1,2
70158,69,1,2
70163,111,1,2
70173,11,1,2
70182,9,1,2
70188,13,1,2
70215,111,1,2
70224,11,1,2
70227,13,1,2
70235,3,1,2
70241,21,1,2
70267,21,1,2
70274,11,1,2
70293,13,1,2
70299,21,1,2
70300,1,1,2
70304,26,1,2
70315,123,1,2
70316,43,1,2
70321,11,1,2
70325,111,1,2
70329,13,1,2
70337,71,1,2
70343,13,1,2
70348,116,1,2
70372,101,1,2
70382,131,1,2
70387,21,1,2
70392,23,1,2
70397,1,1,2
70406,13,1,2
70407,1,1,2
70413,101,1,2
70414,1,1,2
70420,121,1,2
70427,111,1,2
70454,1,1,2
70458,111,1,2
70475,113,1,2
70495,23,1,2
70501,11,1,2
70515,111,1,2
70520,103,1,2
70522,11,1,2
70525,11,1,2
70530,23,1,2
70535,121,1,2
70536,31,1,2
70542,153,1,2
70555,143,1,2
70558,31,1,2
70573,21,1,2
70576,103,1,2
70578,163,1,2
70587,43,1,2
70601,101,1,2
70607,11,1,2
70611,21,1,2
70612,11,1,2
70623,11,1,2
70626,13,1,2
70630,1,1,2
70635,11,1,2
70637,11,1,2
70641,1,1,2
70642,11,1,2
70647,11,1,2
70653,11,1,2
70656,13,1,2
70657,101,1,2
70663,103,1,2
70666,113,1,2
70679,101,1,2
70684,11,1,2
70698,21,1,2
70700,11,1,2
70703,111,1,2
70708,11,1,2
70715,101,1,2
70717,11,1,2
70718,23,1,2
70721,11,1,2
70725,21,1,2
70747,111,1,2
70750,101,1,2
70763,21,1,2
70767,1,1,2
70771,1,1,2
70774,1,1,2
70776,11,1,2
70778,31,1,2
70779,41,1,2
70783,11,1,2
70785,31,1,2
70791,131,1,2
70812,161,1,2
70820,11,1,2
70821,11,1,2
70823,21,1,2
70829,101,1,2
70830,21,1,2
70836,101,1,2
70843,31,1,2
70845,13,1,2
70849,1,1,2
70854,21,1,2
70863,286,1,2
70865,33,1,2
70872,136,1,2
70881,11,1,2
70886,101,1,2
70888,31,1,2
70900,111,1,2
70906,131,1,2
70909,9,1,2
70910,123,1,2
70913,101,1,2
70920,31,1,2
70922,31,1,2
70927,131,1,2
70936,1,1,2
70937,111,1,2
70946,91,1,2
70947,61,1,2
70956,103,1,2
70970,121,1,2
70972,101,1,2
70984,101,1,2
70987,11,1,2
70991,11,1,2
70993,131,1,2
70995,41,1,2
71000,11,1,2
71010,11,1,2
71031,51,1,2
71036,1,1,2
71042,1,1,2
71043,11,1,2
71047,63,1,2
71059,31,1,2
71066,1,1,2
71070,1,1,2
71073,23,1,2
71074,1,1,2
71082,113,1,2
71093,131,1,2
71102,101,1,2
71104,111,1,2
71105,11,1,2
71116,101,1,2
71118,111,1,2
71124,103,1,2
71125,11,1,2
71127,11,1,2
71135,21,1,2
71136,103,1,2
71145,153,1,2
71146,123,1,2
71147,11,1,2
71154,26,1,2
71164,11,1,2
71166,21,1,2
71172,11,1,2
71181,101,1,2
71189,123,1,2
71198,11,1,2
71199,11,1,2
71201,99,1,2
71202,11,1,2
71207,41,1,2
71210,11,1,2
71212,3,1,2
71213,211,1,2
71222,101,1,2
71243,21,1,2
71262,31,1,2
71266,101,1,2
71275,31,1,2
71281,1,1,2
71283,21,1,2
71286,21,1,2
71288,11,1,2
71293,41,1,2
71294,11,1,2
71301,133,1,2
71304,21,1,2
71310,3,1,2
71314,1,1,2
71327,3,1,2
71331,1,1,2
71334,1,1,2
71335,1,1,2
71346,111,1,2
71348,31,1,2
71349,141,1,2
71353,11,1,2
71356,111,1,2
71357,111,1,2
71361,101,1,2
71363,111,1,2
71372,11,1,2
71381,9,1,2
71384,11,1,2
71390,21,1,2
71393,11,1,2
71418,41,1,2
71423,13,1,2
71425,3,1,2
71443,21,1,2
71456,1,1,2
71469,103,1,2
71501,101,1,2
71512,1,1,2
71516,9,1,2
71517,11,1,2
71520,21,1,2
71531,1,1,2
71570,11,1,2
71582,11,1,2
71585,71,1,2
71602,13,1,2
71611,1,1,2
71613,11,1,2
71623,101,1,2
71631,9,1,2
71637,1,1,2
71645,111,1,2
71647,113,1,2
71650,11,1,2
71661,11,1,2
71666,11,1,2
71674,101,1,2
71681,181,1,2
71684,21,1,2
71685,11,1,2
71689,21,1,2
71714,11,1,2
71717,1,1,2
71721,1,1,2
71723,1,1,2
71725,121,1,2
71741,1,1,2
71765,141,1,2
71778,21,1,2
71791,53,1,2
71798,111,1,2
71805,51,1,2
71809,23,1,2
71810,1,1,2
71811,11,1,2
71819,31,1,2
71822,21,1,2
71828,141,1,2
71833,111,1,2
71838,3,1,2
71845,21,1,2
71854,11,1,2
71855,11,1,2
71860,1,1,2
71879,51,1,2
71884,3,1,2
71890,11,1,2
71892,101,1,2
71900,1,1,2
71914,101,1,2
71923,133,1,2
71927,111,1,2
71949,111,1,2
71963,133,1,2
71964,31,1,2
71977,111,1,2
71981,11,1,2
71987,131,1,2
71991,31,1,2
71998,26,1,2
72008,1,1,2
72013,1,1,2
72022,1,1,2
72024,1,1,2
73024,26,1,2
73027,11,1,2
73031,31,1,2
73035,11,1,2
73042,21,1,2
73052,1,1,2
73053,123,1,2
73056,11,1,2
73062,103,1,2
73064,11,1,2
73075,1,1,2
73080,21,1,2
73086,141,1,2
73092,91,1,2
73101,17,1,2
73125,3,1,2
73128,121,1,2
73129,121,1,2
73146,1,1,2
73147,1,1,2
73156,11,1,2
73183,11,1,2
73188,11,1,2
73191,23,1,2
73194,31,1,2
73213,13,1,2
73225,121,1,2
73227,33,1,2
73228,61,1,2
73231,1,1,2
73238,11,1,2
73247,1,1,2
73254,11,1,2
73260,1,1,2
73263,53,1,2
73266,13,1,2
73267,131,1,2
73269,1,1,2
73281,101,1,2
73290,37,1,2
73291,113,1,2
73293,1,1,2
73298,3,1,2
73311,21,1,2
73316,21,1,2
73317,11,1,2
73322,23,1,2
73323,11,1,2
73330,136,1,2
73335,1,1,2
73337,11,1,2
73340,1,1,2
73342,1,1,2
73350,11,1,2
73351,21,1,2
73363,101,1,2
73371,1,1,2
73374,11,1,2
73376,146,1,2
73379,11,1,2
73387,31,1,2
73398,1,1,1
73400,111,1,1
73406,11,1,1
73407,111,1,1
73408,9,1,1
73428,1,1,1
73429,101,1,1
73433,111,1,1
73456,111,1,1
73457,3,1,1
73465,1,1,1
73471,1,1,1
73473,11,1,1
73474,31,1,1
73478,111,1,1
73484,131,1,1
73491,51,1,1
73501,11,1,1
73502,131,1,1
73512,11,1,1
73513,121,1,1
73525,41,1,1
73539,3,1,1
73559,111,1,1
73566,61,1,1
73572,11,1,1
73579,1,1,1
73585,13,1,1
73588,31,1,1
73592,121,1,1
73601,11,1,1
73603,21,1,1
73611,111,1,1
73612,121,1,1
73614,1,1,1
73620,21,1,1
73626,111,1,1
73633,21,1,1
73636,111,1,1
73641,1,1,1
73654,53,1,1
73655,136,1,1
73657,111,1,1
73659,1,1,1
73662,1,1,1
73665,11,1,1
73666,101,1,1
73667,121,1,1
73671,1,1,1
73672,3,1,1
73676,113,1,1
73685,114,1,1
73688,11,1,1
73700,101,1,1
73706,1,1,1
73708,113,1,1
73711,11,1,1
73721,1,1,1
73722,111,1,1
73726,1,1,1
73728,33,1,1
73733,111,1,1
73734,111,1,1
73743,101,1,1
73754,11,1,1
73757,171,1,1
73762,23,1,1
73763,1,1,1
73769,21,1,1
73773,31,1,1
73774,1,1,1
73777,11,1,1
73786,9,1,1
73800,1,1,1
73826,1,1,1
73828,111,1,1
73843,19,1,1
73845,66,1,1
73846,31,1,1
73860,21,1,1
73861,61,1,1
73865,11,1,1
73897,101,1,1
73899,11,1,1
73903,1,1,1
73911,11,1,1
73916,1,1,1
73920,13,1,1
73928,151,1,1
73932,121,1,1
73934,41,1,1
73950,11,1,1
73959,23,1,1
73964,111,1,1
73981,11,1,1
73983,29,1,1
73994,23,1,1
73996,11,1,1
73998,101,1,1
74001,103,1,1
74002,111,1,1
74018,1,1,1
74048,21,1,1
74050,111,1,1
74073,11,1,1
74081,13,1,1
74091,121,1,1
74094,41,1,1
74098,1,1,1
74105,101,1,1
74107,111,1,1
74108,1,1,1
74110,11,1,1
74132,1,1,1
74149,11,1,1
74182,11,1,1
74183,61,1,1
74185,21,1,1
74186,21,1,1
74189,13,1,1
74203,21,1,1
74206,111,1,1
74207,11,1,1
74210,1,1,1
74213,33,1,1
74214,111,1,1
74223,13,1,1
74224,111,1,1
74230,101,1,1
74231,101,1,1
74242,111,1,1
74245,36,1,1
74248,103,1,1
74274,101,1,1
74280,101,1,1
74297,111,1,1
74318,1,1,1
74320,13,1,1
74322,11,1,1
74328,31,1,1
74354,61,1,1
74364,1,1,2
74369,31,1,1
74386,3,1,1
74390,1,1,1
74396,19,1,1
74414,41,1,1
74422,111,1,1
74430,111,1,1
74441,133,1,1
74457,111,1,1
74460,101,1,1
74465,11,1,1
74468,111,1,1
74471,111,1,1
74477,123,1,1
74484,1,1,1
74487,3,1,1
74508,11,1,1
74521,1,1,1
74529,161,1,1
74532,1,1,1
74540,36,1,1
74543,113,1,1
74546,11,1,1
74548,113,1,1
74551,101,1,1
74574,51,1,1
74577,11,1,1
74583,101,1,1
74589,123,1,1
74591,21,1,1
74607,1,1,1
74617,21,1,1
74619,11,1,1
74620,21,1,1
74621,31,1,1
74622,153,1,1
74632,1,1,1
74635,1,1,1
74640,1,1,1
74647,1,1,1
74657,11,1,1
74658,1,1,1
74660,31,1,1
74678,13,1,1
74680,1,1,1
74682,1,1,1
74691,1,1,1
74697,41,1,1
74698,11,1,1
74706,1,1,1
74707,13,1,1
74708,9,1,1
74710,1,1,1
74718,31,1,1
74723,111,1,1
74728,111,1,1
74743,111,1,1
74745,391,1,1
74754,101,1,1
74760,1,1,1
74762,111,1,1
74764,13,1,1
74771,1,1,1
74772,1,1,1
74777,11,1,1
74781,61,1,1
74785,21,1,1
74794,131,1,1
74795,113,1,1
74797,101,1,1
74800,46,1,1
74802,71,1,1
74811,31,1,1
74814,31,1,1
74820,11,1,1
74829,3,1,1
74831,3,1,1
74838,13,1,1
74850,11,1,1
74852,1,1,1
74854,101,1,1
74865,21,1,1
74867,21,1,1
74871,1,1,1
74894,111,1,1
74906,13,1,1
74910,11,1,1
74912,111,1,1
74919,111,1,1
74922,11,1,1
74923,103,1,1
74937,1,1,1
74950,101,1,1
74955,141,1,1
74966,111,1,1
74980,21,1,1
74989,171,1,1
74996,3,1,1
75003,1,1,1
75004,33,1,1
75010,101,1,1
75012,3,1,1
75015,11,1,1
75017,1,1,1
75025,11,1,1
75044,21,1,1
75051,1,1,1
75056,81,1,1
75060,13,1,1
75064,11,1,1
75068,1,1,1
75070,1,1,1
75071,21,1,1
75075,101,1,1
75087,11,1,1
75088,3,1,1
75089,21,1,1
75090,1,1,1
75091,1,1,1
75107,1,1,1
75115,11,1,1
75116,111,1,1
75119,11,1,1
75120,11,1,1
75123,1,1,1
75129,103,1,1
75138,101,1,1
75145,13,1,1
75147,13,1,1
75165,113,1,1
